"team_name" "Rk" "From" "To" "Yrs" "G" "W" "L" "W.L." "SRS" "SOS" "AP" "CREG" "CTRN" "NCAA" "FF" "NC" "paste_url"
"275" "Norfolk State Spartans" "280" 1998 2015 "18" "541" "253" "288" ".468" "-11.72" "-8.65" "0" "1" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/norfolk-state/"
"276" "North Carolina-Asheville Bulldogs" "285" 1987 2015 "29" "852" "401" "451" ".471" "-10.38" "-5.73" "0" "5" "4" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/north-carolina-asheville/"
"277" "North Carolina-Greensboro Spartans" "286" 1992 2015 "24" "710" "302" "408" ".425" "-8.10" "-4.61" "0" "4" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/north-carolina-greensboro/"
"278" "North Carolina-Wilmington Seahawks" "287" 1977 2015 "39" "1140" "585" "555" ".513" "-2.95" "-2.22" "0" "5" "4" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/north-carolina-wilmington/"
"279" "North Carolina A&T Aggies" "281" 1974 2015 "42" "1217" "601" "616" ".494" "-12.12" "-9.43" "0" "11" "14" "10" "0" "0" "http://www.sports-reference.com/cbb/schools/north-carolina-at/"
"280" "North Carolina Central Eagles" "282" 2011 2015 "5" "154" "103" "51" ".669" "-3.42" "-7.58" "0" "2" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/north-carolina-central/"
"281" "North Carolina State Wolfpack" "283" 1913 2015 "103" "2662" "1655" "1007" ".622" "12.04" "8.06" "17" "13" "17" "25" "3" "2" "http://www.sports-reference.com/cbb/schools/north-carolina-state/"
"282" "North Carolina Tar Heels" "284" 1911 2015 "105" "2896" "2133" "763" ".737" "19.98" "9.88" "46" "36" "25" "45" "18" "5" "http://www.sports-reference.com/cbb/schools/north-carolina/"
"283" "North Central Cardinals" "288" 1911 1922 "8" "115" "78" "37" ".678" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/north-central/"
"284" "North Dakota State Bison" "289" 1898 2015 "36" "602" "433" "169" ".719" "0.81" "-3.30" "0" "2" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/north-dakota-state/"
"285" "North Dakota UND" "290" 1905 2015 "22" "353" "227" "126" ".643" "-9.57" "-5.40" "0" "0" "2" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/north-dakota/"
"286" "North Florida Ospreys" "291" 2010 2015 "6" "190" "91" "99" ".479" "-5.84" "-2.23" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/north-florida/"
"287" "North Texas Mean Green" "292" 1922 2015 "60" "1624" "719" "905" ".443" "-5.68" "-2.01" "0" "3" "3" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/north-texas/"
"288" "Northeastern Huskies" "293" 1938 2015 "52" "1401" "724" "677" ".517" "-3.93" "-3.91" "0" "11" "7" "7" "0" "0" "http://www.sports-reference.com/cbb/schools/northeastern/"
"289" "Northeastern Illinois Golden Eagles" "294" 1991 1998 "8" "216" "78" "138" ".361" "-14.90" "-6.67" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/northeastern-illinois/"
"290" "Northern Arizona Lumberjacks" "295" 1919 2015 "76" "1770" "826" "944" ".467" "-5.72" "-2.35" "0" "6" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/northern-arizona/"
"291" "Northern Colorado Bears" "296" 1911 2015 "36" "600" "320" "280" ".533" "-4.11" "-4.23" "0" "3" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/northern-colorado/"
"292" "Northern Illinois Huskies" "297" 1927 2015 "49" "1349" "599" "750" ".444" "-4.23" "-1.45" "0" "3" "2" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/northern-illinois/"
"293" "Northern Iowa Panthers" "298" 1981 2015 "35" "1045" "547" "498" ".523" "0.71" "1.32" "0" "2" "4" "6" "0" "0" "http://www.sports-reference.com/cbb/schools/northern-iowa/"
"294" "Northern Kentucky Norse" "299" 2013 2015 "3" "84" "31" "53" ".369" "-8.63" "-4.54" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/northern-kentucky/"
"295" "Northest Missouri State Bearcats" "300" 1930 1932 "3" "97" "89" "8" ".918" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/northest-missouri-state/"
"296" "Northwestern State Demons" "301" 1977 2015 "39" "1119" "509" "610" ".455" "-9.14" "-5.51" "0" "3" "3" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/northwestern-state/"
"297" "Northwestern Wildcats" "302" 1905 2015 "110" "2471" "1014" "1456" ".411" "2.95" "8.16" "0" "2" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/northwestern/"
"298" "Notre Dame Fighting Irish" "303" 1897 2015 "111" "2761" "1789" "971" ".648" "10.86" "6.25" "23" "5" "0" "33" "1" "0" "http://www.sports-reference.com/cbb/schools/notre-dame/"
"299" "Oakland Golden Grizzlies" "304" 2000 2015 "16" "507" "269" "238" ".531" "-1.44" "-0.84" "0" "3" "3" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/oakland/"
"300" "Oberlin Yeomen" "305" 1905 1921 "7" "82" "61" "21" ".744" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/oberlin/"
"301" "Ohio Bobcats" "306" 1908 2015 "108" "2551" "1457" "1094" ".571" "1.41" "0.13" "0" "10" "6" "13" "0" "0" "http://www.sports-reference.com/cbb/schools/ohio/"
"302" "Ohio State Buckeyes" "307" 1899 2015 "116" "2741" "1680" "1061" ".613" "13.87" "8.34" "21" "22" "5" "30" "11" "1" "http://www.sports-reference.com/cbb/schools/ohio-state/"
"303" "Ohio Wesleyan Battling Bishops" "308" 1929 1935 "2" "40" "35" "5" ".875" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/ohio-wesleyan/"
"304" "Oklahoma City Chiefs" "309" 1951 1985 "35" "948" "530" "418" ".559" "-5.71" "0.20" "3" "0" "1" "11" "0" "0" "http://www.sports-reference.com/cbb/schools/oklahoma-city/"
"305" "Oklahoma Sooners" "310" 1908 2015 "108" "2626" "1602" "1024" ".610" "14.64" "7.27" "17" "14" "7" "28" "4" "0" "http://www.sports-reference.com/cbb/schools/oklahoma/"
"306" "Oklahoma State Cowboys" "311" 1908 2015 "106" "2699" "1594" "1105" ".591" "12.05" "7.14" "18" "19" "4" "26" "6" "2" "http://www.sports-reference.com/cbb/schools/oklahoma-state/"
"307" "Old Dominion Monarchs" "312" 1977 2015 "39" "1204" "726" "478" ".603" "3.27" "0.45" "0" "8" "6" "11" "0" "0" "http://www.sports-reference.com/cbb/schools/old-dominion/"
"308" "Oral Roberts Golden Eagles" "313" 1972 2015 "40" "1183" "688" "495" ".582" "-0.36" "-1.35" "2" "10" "5" "5" "0" "0" "http://www.sports-reference.com/cbb/schools/oral-roberts/"
"309" "Oregon Ducks" "314" 1903 2015 "110" "2871" "1548" "1323" ".539" "7.46" "7.14" "3" "4" "3" "12" "1" "1" "http://www.sports-reference.com/cbb/schools/oregon/"
"310" "Oregon State Beavers" "315" 1902 2015 "114" "2969" "1702" "1267" ".573" "6.31" "6.51" "8" "12" "0" "16" "2" "0" "http://www.sports-reference.com/cbb/schools/oregon-state/"
"311" "Pacific Tigers" "316" 1938 2015 "65" "1821" "936" "885" ".514" "0.21" "0.69" "1" "10" "5" "9" "0" "0" "http://www.sports-reference.com/cbb/schools/pacific/"
"312" "Penn State Nittany Lions" "317" 1897 2015 "119" "2522" "1402" "1119" ".556" "4.22" "4.89" "2" "2" "1" "9" "1" "0" "http://www.sports-reference.com/cbb/schools/penn-state/"
"313" "Pennsylvania Quakers" "318" 1897 2015 "114" "2770" "1716" "1053" ".620" "-1.21" "-3.02" "6" "37" "0" "23" "1" "0" "http://www.sports-reference.com/cbb/schools/pennsylvania/"
"314" "Pepperdine Waves" "319" 1944 2015 "61" "1733" "877" "856" ".506" "1.38" "1.33" "1" "12" "3" "13" "0" "0" "http://www.sports-reference.com/cbb/schools/pepperdine/"
"315" "Phillips Haymakers" "320" 1920 1920 "1" "3" "2" "1" ".667" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/phillips/"
"316" "Pittsburg State Gorillas" "321" 1927 1931 "5" "103" "86" "17" ".835" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/pittsburg-state/"
"317" "Pittsburgh Panthers" "322" 1906 2015 "108" "2649" "1555" "1094" ".587" "11.69" "6.86" "13" "11" "4" "25" "1" "0" "http://www.sports-reference.com/cbb/schools/pittsburgh/"
"318" "Portland Pilots" "323" 1954 2015 "62" "1731" "745" "986" ".430" "-3.17" "0.88" "0" "0" "1" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/portland/"
"319" "Portland State Vikings" "324" 1973 2015 "26" "736" "359" "377" ".488" "-5.89" "-2.99" "0" "2" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/portland-state/"
"320" "Prairie View Panthers" "325" 1981 2015 "35" "994" "266" "728" ".268" "-22.08" "-8.15" "0" "1" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/prairie-view/"
"321" "Pratt Institute Cannoneers" "326" 1934 1934 "1" "14" "8" "6" ".571" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/pratt-institute/"
"322" "Presbyterian Blue Hose" "327" 2011 2015 "5" "153" "50" "103" ".327" "-13.90" "-4.84" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/presbyterian/"
"323" "Princeton Tigers" "328" 1901 2015 "115" "2716" "1669" "1047" ".615" "-0.08" "-3.97" "4" "29" "0" "24" "1" "0" "http://www.sports-reference.com/cbb/schools/princeton/"
"324" "Providence Friars" "329" 1929 2015 "66" "1877" "1149" "728" ".612" "8.55" "6.72" "6" "3" "2" "16" "2" "0" "http://www.sports-reference.com/cbb/schools/providence/"
"325" "Purdue Boilermakers" "330" 1897 2015 "117" "2691" "1709" "982" ".635" "13.78" "8.75" "18" "22" "1" "26" "2" "0" "http://www.sports-reference.com/cbb/schools/purdue/"
"326" "Quinnipiac Bobcats" "331" 1999 2015 "17" "502" "251" "251" ".500" "-8.02" "-7.06" "0" "1" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/quinnipiac/"
"327" "Radford Highlanders" "332" 1985 2015 "31" "914" "468" "446" ".512" "-9.72" "-7.52" "0" "4" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/radford/"
"328" "Regis (CO) Rangers" "333" 1962 1964 "3" "66" "37" "29" ".561" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/regis-co/"
"329" "Rensselaer Engineers" "334" 1901 1924 "4" "39" "28" "11" ".718" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/rensselaer/"
"330" "Rhode Island Rams" "335" 1904 2015 "109" "2508" "1424" "1084" ".568" "2.25" "2.42" "0" "15" "1" "8" "0" "0" "http://www.sports-reference.com/cbb/schools/rhode-island/"
"331" "Rice Owls" "336" 1915 2015 "101" "2418" "1056" "1362" ".437" "-1.10" "2.32" "0" "10" "0" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/rice/"
"332" "Richmond Spiders" "337" 1913 2015 "103" "2444" "1304" "1140" ".534" "2.64" "0.67" "1" "6" "6" "9" "0" "0" "http://www.sports-reference.com/cbb/schools/richmond/"
"333" "Rider Broncs" "338" 1929 2015 "52" "1456" "766" "690" ".526" "-6.15" "-5.27" "0" "11" "3" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/rider/"
"334" "Ripon Red Hawks" "339" 1902 1922 "5" "59" "46" "13" ".780" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/ripon/"
"335" "Roanoke Maroons" "340" 1912 1919 "8" "92" "67" "25" ".728" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/roanoke/"
"336" "Robert Morris Colonials" "341" 1977 2015 "39" "1144" "565" "579" ".494" "-8.02" "-6.75" "0" "11" "7" "7" "0" "0" "http://www.sports-reference.com/cbb/schools/robert-morris/"
"337" "Rochester (NY) Yellowjackets" "342" 1910 1944 "7" "111" "74" "37" ".667" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/rochester-ny/"
"338" "Rose-Hulman Fightin' Engineers" "343" 1898 1898 "1" "4" "2" "2" ".500" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/rose-hulman/"
"339" "Rutgers Scarlet Knights" "344" 1914 2015 "101" "2317" "1189" "1128" ".513" "3.16" "4.60" "2" "10" "2" "6" "1" "0" "http://www.sports-reference.com/cbb/schools/rutgers/"
"340" "Sacramento State Hornets" "345" 1992 2015 "24" "668" "191" "477" ".286" "-13.25" "-2.81" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/sacramento-state/"
"341" "Sacred Heart Pioneers" "346" 2000 2015 "16" "469" "172" "297" ".367" "-11.35" "-6.69" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/sacred-heart/"
"342" "Saint Francis (PA) Red Flash" "347" 1956 2015 "60" "1610" "710" "900" ".441" "-11.66" "-6.88" "0" "1" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/saint-francis-pa/"
"343" "Saint Joseph's Hawks" "348" 1910 2015 "106" "2637" "1575" "1062" ".597" "5.11" "3.11" "6" "20" "5" "20" "1" "0" "http://www.sports-reference.com/cbb/schools/saint-josephs/"
"344" "Saint Louis Billikens" "349" 1916 2015 "99" "2514" "1367" "1147" ".544" "4.21" "3.35" "10" "7" "2" "9" "0" "0" "http://www.sports-reference.com/cbb/schools/saint-louis/"
"345" "Saint Mary's (CA) Gaels" "350" 1910 2015 "106" "2437" "1230" "1207" ".505" "1.63" "0.91" "2" "6" "3" "8" "0" "0" "http://www.sports-reference.com/cbb/schools/saint-marys-ca/"
"346" "Saint Peter's Peacocks" "351" 1966 2015 "50" "1410" "698" "712" ".495" "-4.79" "-3.95" "0" "6" "3" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/saint-peters/"
"347" "Sam Houston State Bearkats" "352" 1987 2015 "29" "838" "428" "410" ".511" "-7.24" "-5.29" "0" "5" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/sam-houston-state/"
"348" "Samford Bulldogs" "353" 1973 2015 "43" "1222" "531" "691" ".435" "-8.46" "-5.93" "0" "3" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/samford/"
"349" "San Diego State Aztecs" "354" 1971 2015 "45" "1331" "702" "629" ".527" "3.02" "3.58" "3" "6" "6" "10" "0" "0" "http://www.sports-reference.com/cbb/schools/san-diego-state/"
"350" "San Diego Toreros" "355" 1980 2015 "36" "1047" "527" "520" ".503" "-0.09" "0.36" "0" "2" "2" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/san-diego/"
"351" "San Francisco Dons" "356" 1924 2015 "88" "2260" "1306" "954" ".578" "0.08" "1.17" "9" "15" "1" "16" "3" "2" "http://www.sports-reference.com/cbb/schools/san-francisco/"
"352" "San Jose State Spartans" "357" 1938 2015 "65" "1763" "723" "1040" ".410" "-3.25" "2.19" "0" "1" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/san-jose-state/"
"353" "Santa Clara Broncos" "358" 1909 2015 "106" "2471" "1432" "1039" ".580" "1.65" "1.49" "2" "11" "2" "11" "1" "0" "http://www.sports-reference.com/cbb/schools/santa-clara/"
"354" "Savannah State Tigers" "360" 2003 2015 "13" "382" "130" "252" ".340" "-16.75" "-4.41" "0" "1" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/savannah-state/"
"355" "Scranton Royals" "361" 1948 1948 "1" "27" "7" "20" ".259" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/scranton/"
"356" "Seattle Redhawks" "362" 1953 2015 "33" "899" "541" "358" ".602" "-5.27" "-2.63" "5" "3" "0" "11" "1" "0" "http://www.sports-reference.com/cbb/schools/seattle/"
"357" "Seton Hall Pirates" "363" 1909 2015 "102" "2460" "1425" "1034" ".580" "7.61" "6.67" "6" "4" "2" "9" "1" "0" "http://www.sports-reference.com/cbb/schools/seton-hall/"
"358" "Sewanee Tigers" "364" 1923 1941 "19" "248" "48" "200" ".194" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/sewanee/"
"359" "Siena Saints" "365" 1939 2015 "57" "1545" "854" "691" ".553" "-2.16" "-3.72" "1" "9" "6" "6" "0" "0" "http://www.sports-reference.com/cbb/schools/siena/"
"360" "South Alabama Jaguars" "366" 1972 2015 "44" "1270" "725" "545" ".571" "0.21" "-1.03" "0" "12" "5" "8" "0" "0" "http://www.sports-reference.com/cbb/schools/south-alabama/"
"361" "South Carolina Gamecocks" "367" 1909 2015 "107" "2539" "1338" "1200" ".527" "6.60" "5.88" "8" "7" "2" "8" "0" "0" "http://www.sports-reference.com/cbb/schools/south-carolina/"
"362" "South Carolina State Bulldogs" "368" 1972 2015 "44" "1283" "638" "645" ".497" "-12.48" "-9.91" "0" "8" "5" "5" "0" "0" "http://www.sports-reference.com/cbb/schools/south-carolina-state/"
"363" "South Carolina Upstate Spartans" "369" 2011 2015 "5" "159" "80" "79" ".503" "-3.98" "-3.86" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/south-carolina-upstate/"
"364" "South Dakota Coyotes" "370" 2011 2015 "5" "150" "65" "85" ".433" "-7.78" "-4.14" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/south-dakota/"
"365" "South Dakota State Jackrabbits" "371" 2009 2015 "7" "225" "138" "87" ".613" "0.61" "-3.00" "0" "1" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/south-dakota-state/"
"366" "South Florida Bulls" "372" 1974 2015 "42" "1226" "573" "653" ".467" "2.59" "3.66" "0" "1" "1" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/south-florida/"
"367" "Southeast Missouri State Redhawks" "373" 1992 2015 "24" "701" "302" "399" ".431" "-8.33" "-4.79" "0" "1" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/southeast-missouri-state/"
"368" "Southeastern Louisiana Lions" "374" 1981 2015 "34" "961" "415" "546" ".432" "-10.96" "-6.20" "0" "4" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/southeastern-louisiana/"
"369" "Southern California Trojans" "375" 1907 2015 "109" "2687" "1530" "1157" ".569" "7.20" "7.00" "9" "7" "1" "16" "2" "0" "http://www.sports-reference.com/cbb/schools/southern-california/"
"370" "Southern Illinois-Edwardsville Cougars" "377" 2011 2015 "5" "140" "50" "90" ".357" "-12.80" "-4.67" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/southern-illinois-edwardsville/"
"371" "Southern Illinois Salukis" "376" 1968 2015 "48" "1415" "784" "631" ".554" "2.97" "2.60" "1" "9" "5" "10" "0" "0" "http://www.sports-reference.com/cbb/schools/southern-illinois/"
"372" "Southern Jaguars" "378" 1978 2015 "38" "1106" "585" "521" ".529" "-10.02" "-10.19" "0" "8" "8" "8" "0" "0" "http://www.sports-reference.com/cbb/schools/southern/"
"373" "Southern Methodist Mustangs" "379" 1917 2015 "99" "2434" "1254" "1180" ".515" "2.44" "2.74" "2" "13" "1" "10" "1" "0" "http://www.sports-reference.com/cbb/schools/southern-methodist/"
"374" "Southern Mississippi Golden Eagles" "380" 1967 2015 "44" "1282" "685" "597" ".534" "3.69" "3.18" "1" "2" "0" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/southern-mississippi/"
"375" "Southern Utah Thunderbirds" "381" 1989 2015 "27" "772" "337" "435" ".437" "-7.00" "-3.61" "0" "3" "3" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/southern-utah/"
"376" "Southwestern (KS) Moundbuilders" "382" 1905 1923 "19" "289" "212" "77" ".734" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/southwestern-ks/"
"377" "Southwestern (TX) Pirates" "383" 1915 1916 "2" "10" "1" "9" ".100" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/southwestern-tx/"
"378" "Springfield Pride" "384" 1897 1935 "30" "406" "268" "138" ".660" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/springfield/"
"379" "St. Bonaventure Bonnies" "385" 1920 2015 "95" "2263" "1272" "991" ".562" "-0.87" "1.71" "6" "7" "1" "6" "1" "0" "http://www.sports-reference.com/cbb/schools/st-bonaventure/"
"380" "St. Francis (NY) Terriers" "386" 1902 2015 "96" "2376" "1175" "1201" ".495" "-11.60" "-8.22" "0" "5" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/st-francis-ny/"
"381" "St. John's (NY) Red Storm" "387" 1908 2015 "108" "2792" "1838" "954" ".658" "10.06" "7.20" "15" "14" "3" "28" "2" "0" "http://www.sports-reference.com/cbb/schools/st-johns-ny/"
"382" "St. Lawrence Saints" "389" 1902 1914 "7" "99" "70" "29" ".707" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/st-lawrence/"
"383" "Stanford Cardinal" "390" 1914 2015 "100" "2554" "1459" "1095" ".571" "11.10" "6.80" "10" "11" "1" "17" "2" "1" "http://www.sports-reference.com/cbb/schools/stanford/"
"384" "Stephen F. Austin Lumberjacks" "391" 1987 2015 "29" "832" "454" "378" ".546" "-6.63" "-6.77" "0" "6" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/stephen-f-austin/"
"385" "Stetson Hatters" "392" 1972 2015 "44" "1241" "578" "663" ".466" "-8.39" "-4.68" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/stetson/"
"386" "Stevens Institute Ducks" "393" 1917 1920 "4" "48" "37" "11" ".771" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/stevens-institute/"
"387" "Stony Brook Seawolves" "394" 2000 2015 "16" "481" "226" "255" ".470" "-7.61" "-5.60" "0" "4" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/stony-brook/"
"388" "SUNY-Potsdam Bears" "395" 1910 1913 "2" "32" "22" "10" ".688" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/suny-potsdam/"
"389" "Swarthmore Garnet" "396" 1906 1919 "11" "133" "92" "41" ".692" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/swarthmore/"
"390" "Syracuse Orange" "397" 1899 2015 "115" "2771" "1922" "848" ".694" "15.65" "7.28" "30" "11" "5" "37" "5" "1" "http://www.sports-reference.com/cbb/schools/syracuse/"
"391" "Temple Owls" "398" 1895 2015 "119" "2864" "1842" "1022" ".643" "9.92" "4.72" "9" "21" "10" "31" "2" "0" "http://www.sports-reference.com/cbb/schools/temple/"
"392" "Tennessee-Martin Skyhawks" "402" 1993 2015 "23" "661" "237" "424" ".359" "-11.61" "-4.13" "0" "1" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/tennessee-martin/"
"393" "Tennessee State Tigers" "399" 1978 2015 "38" "1080" "450" "630" ".417" "-8.87" "-4.60" "0" "2" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/tennessee-state/"
"394" "Tennessee Tech Golden Eagles" "400" 1944 2015 "61" "1644" "818" "826" ".498" "-6.59" "-3.79" "0" "7" "1" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/tennessee-tech/"
"395" "Tennessee Volunteers" "401" 1909 2015 "106" "2565" "1566" "997" ".611" "10.59" "7.87" "11" "12" "4" "20" "0" "0" "http://www.sports-reference.com/cbb/schools/tennessee/"
"396" "Texas-Arlington Mavericks" "411" 1969 2015 "47" "1322" "586" "736" ".443" "-7.39" "-4.73" "0" "2" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/texas-arlington/"
"397" "Texas-El Paso Miners" "412" 1923 2015 "87" "2206" "1279" "927" ".580" "6.43" "2.76" "4" "13" "5" "17" "1" "1" "http://www.sports-reference.com/cbb/schools/texas-el-paso/"
"398" "Texas-Pan American Broncs" "413" 1969 2015 "47" "1304" "564" "740" ".433" "-8.59" "-2.36" "0" "5" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/texas-pan-american/"
"399" "Texas-San Antonio Roadrunners" "414" 1982 2015 "34" "985" "506" "479" ".514" "-5.93" "-4.94" "0" "3" "4" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/texas-san-antonio/"
"400" "Texas A&M-Corpus Christi Islanders" "404" 2003 2015 "13" "388" "193" "195" ".497" "-5.75" "-4.17" "0" "4" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/texas-am-corpus-christi/"
"401" "Texas A&M Aggies" "403" 1913 2015 "103" "2557" "1342" "1215" ".525" "4.72" "4.28" "3" "11" "2" "12" "0" "0" "http://www.sports-reference.com/cbb/schools/texas-am/"
"402" "Texas Christian Horned Frogs" "405" 1914 2015 "102" "2476" "1141" "1335" ".461" "2.98" "3.05" "3" "11" "0" "7" "0" "0" "http://www.sports-reference.com/cbb/schools/texas-christian/"
"403" "Texas Longhorns" "406" 1906 2015 "109" "2731" "1715" "1016" ".628" "11.01" "6.19" "11" "25" "2" "31" "3" "0" "http://www.sports-reference.com/cbb/schools/texas/"
"404" "Texas Southern Tigers" "407" 1978 2015 "38" "1102" "534" "568" ".485" "-11.13" "-8.67" "0" "9" "5" "5" "0" "0" "http://www.sports-reference.com/cbb/schools/texas-southern/"
"405" "Texas State Bobcats" "408" 1985 2015 "31" "889" "386" "503" ".434" "-9.33" "-5.86" "0" "3" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/texas-state/"
"406" "Texas Tech Red Raiders" "409" 1926 2015 "87" "2307" "1278" "1029" ".554" "5.66" "5.22" "4" "12" "5" "14" "0" "0" "http://www.sports-reference.com/cbb/schools/texas-tech/"
"407" "Texas Wesleyan Rams" "410" 1948 1948 "1" "30" "19" "11" ".633" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/texas-wesleyan/"
"408" "Toledo Rockets" "415" 1916 2015 "100" "2397" "1370" "1027" ".572" "-0.45" "-0.38" "2" "11" "1" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/toledo/"
"409" "Towson Tigers" "416" 1980 2015 "36" "1055" "428" "627" ".406" "-8.70" "-4.55" "0" "4" "3" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/towson/"
"410" "Trinity (CT) Bantams" "417" 1897 1911 "8" "81" "28" "53" ".346" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/trinity-ct/"
"411" "Trinity (TX) Tigers" "418" 1971 1973 "3" "70" "25" "45" ".357" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/trinity-tx/"
"412" "Troy Trojans" "419" 1994 2015 "22" "644" "312" "332" ".484" "-8.09" "-5.74" "0" "6" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/troy/"
"413" "Tulane Green Wave" "420" 1906 2015 "105" "2385" "1182" "1203" ".496" "2.19" "2.38" "1" "6" "0" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/tulane/"
"414" "Tulsa Golden Hurricane" "421" 1914 2015 "102" "2472" "1373" "1099" ".555" "7.40" "2.93" "5" "10" "6" "15" "0" "0" "http://www.sports-reference.com/cbb/schools/tulsa/"
