"team_name" "Rk" "From" "To" "Yrs" "G" "W" "L" "W.L." "SRS" "SOS" "AP" "CREG" "CTRN" "NCAA" "FF" "NC" "paste_url"
"50" "Cal Poly Mustangs" "51" 1995 2015 "21" "610" "260" "350" ".426" "-5.95" "-1.74" "0" "1" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/cal-poly/"
"51" "Cal State Bakersfield Roadrunners" "52" 2011 2015 "5" "149" "64" "85" ".430" "-7.19" "-3.56" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/cal-state-bakersfield/"
"52" "Cal State Fullerton Titans" "53" 1975 2015 "41" "1181" "561" "620" ".475" "-1.90" "-0.04" "0" "2" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/cal-state-fullerton/"
"53" "Cal State Los Angeles Golden Eagles" "54" 1971 1975 "5" "130" "70" "60" ".538" "" "" "0" "0" "0" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/cal-state-los-angeles/"
"54" "Cal State Northridge Matadors" "55" 1991 2015 "25" "737" "327" "410" ".444" "-4.74" "-1.69" "0" "3" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/cal-state-northridge/"
"55" "California-Davis Aggies" "57" 2008 2015 "8" "243" "95" "148" ".391" "-7.38" "-2.68" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/california-davis/"
"56" "California-Irvine Anteaters" "58" 1978 2015 "38" "1115" "523" "592" ".469" "-1.61" "0.47" "0" "3" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/california-irvine/"
"57" "California-Riverside Highlanders" "59" 2002 2015 "14" "405" "140" "265" ".346" "-8.57" "-1.64" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/california-riverside/"
"58" "California-Santa Barbara Gauchos" "60" 1964 2015 "52" "1456" "765" "691" ".525" "0.76" "0.60" "0" "4" "3" "5" "0" "0" "http://www.sports-reference.com/cbb/schools/california-santa-barbara/"
"59" "California Golden Bears" "56" 1908 2015 "106" "2666" "1559" "1107" ".585" "8.78" "6.85" "4" "14" "0" "18" "3" "1" "http://www.sports-reference.com/cbb/schools/california/"
"60" "Campbell Fighting Camels" "61" 1978 2015 "38" "1076" "433" "643" ".402" "-13.22" "-7.18" "0" "1" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/campbell/"
"61" "Canisius Golden Griffins" "62" 1904 2015 "111" "2435" "1236" "1199" ".508" "-5.00" "-3.41" "1" "7" "1" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/canisius/"
"62" "Carleton College Knights" "63" 1910 1934 "25" "360" "280" "80" ".778" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/carleton-college/"
"63" "Carnegie Mellon Tartans" "64" 1933 1939 "7" "87" "40" "47" ".460" "" "" "0" "2" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/carnegie-mellon/"
"64" "Case Western Reserve Spartans" "65" 1898 1955 "13" "245" "95" "150" ".388" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/case-western-reserve/"
"65" "Catholic Cardinals" "66" 1913 1981 "13" "248" "122" "126" ".492" "-20.94" "-6.16" "0" "0" "0" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/catholic/"
"66" "Centenary (LA) Gents" "67" 1960 2011 "52" "1435" "637" "798" ".444" "-10.54" "-4.46" "1" "2" "1" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/centenary-la/"
"67" "Central Arkansas Bears" "68" 2011 2015 "5" "141" "35" "106" ".248" "-17.38" "-5.39" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/central-arkansas/"
"68" "Central Connecticut State Blue Devils" "69" 1987 2015 "29" "838" "356" "482" ".425" "-11.94" "-7.71" "0" "3" "3" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/central-connecticut-state/"
"69" "Central Florida Knights" "70" 1985 2015 "31" "913" "448" "465" ".491" "-5.67" "-3.67" "0" "1" "4" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/central-florida/"
"70" "Central Michigan Chippewas" "71" 1974 2015 "42" "1181" "507" "674" ".429" "-4.89" "-0.29" "0" "6" "2" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/central-michigan/"
"71" "Central Missouri Mules" "72" 1913 1937 "10" "178" "140" "38" ".787" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/central-missouri/"
"72" "Central Pennsylvania College Knights" "74" 1896 1900 "4" "6" "2" "4" ".333" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/central-pennsylvania-college/"
"73" "Centre (KY) Colonels" "75" 1910 1919 "3" "45" "41" "4" ".911" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/centre-ky/"
"74" "Charleston Southern Buccaneers" "76" 1975 2015 "41" "1161" "481" "680" ".414" "-11.69" "-7.55" "0" "3" "4" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/charleston-southern/"
"75" "Charlotte 49ers" "77" 1973 2015 "43" "1273" "724" "549" ".569" "4.32" "3.48" "2" "6" "5" "11" "1" "0" "http://www.sports-reference.com/cbb/schools/charlotte/"
"76" "Chattanooga Mocs" "78" 1978 2015 "38" "1158" "703" "455" ".607" "-2.12" "-3.66" "1" "18" "10" "10" "0" "0" "http://www.sports-reference.com/cbb/schools/chattanooga/"
"77" "Chicago Maroons" "80" 1896 1946 "46" "862" "419" "443" ".486" "" "" "0" "6" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/chicago/"
"78" "Chicago State Cougars" "81" 1985 2015 "31" "891" "251" "640" ".282" "-14.46" "-2.50" "0" "1" "1" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/chicago-state/"
