"V1" "seasons.V1" "seasons_url" "season"
"81" "Alabama State Hornets" "2011-12" "http://www.sports-reference.com/cbb/schools/alabama-state/2012.html" 2011
"82" "Alabama State Hornets" "2010-11" "http://www.sports-reference.com/cbb/schools/alabama-state/2011.html" 2010
"83" "Alabama State Hornets" "2009-10" "http://www.sports-reference.com/cbb/schools/alabama-state/2010.html" 2009
"84" "Alabama State Hornets" "2008-09" "http://www.sports-reference.com/cbb/schools/alabama-state/2009.html" 2008
"85" "Alabama State Hornets" "2007-08" "http://www.sports-reference.com/cbb/schools/alabama-state/2008.html" 2007
"86" "Alabama State Hornets" "2006-07" "http://www.sports-reference.com/cbb/schools/alabama-state/2007.html" 2006
"87" "Alabama State Hornets" "2005-06" "http://www.sports-reference.com/cbb/schools/alabama-state/2006.html" 2005
"88" "Alabama State Hornets" "2004-05" "http://www.sports-reference.com/cbb/schools/alabama-state/2005.html" 2004
"89" "Alabama State Hornets" "2003-04" "http://www.sports-reference.com/cbb/schools/alabama-state/2004.html" 2003
"90" "Alabama State Hornets" "2002-03" "http://www.sports-reference.com/cbb/schools/alabama-state/2003.html" 2002
"91" "Alabama State Hornets" "2001-02" "http://www.sports-reference.com/cbb/schools/alabama-state/2002.html" 2001
"92" "Alabama State Hornets" "2000-01" "http://www.sports-reference.com/cbb/schools/alabama-state/2001.html" 2000
"93" "Albany (NY) Great Danes" "2014-15" "http://www.sports-reference.com/cbb/schools/albany-ny/2015.html" 2014
"94" "Albany (NY) Great Danes" "2013-14" "http://www.sports-reference.com/cbb/schools/albany-ny/2014.html" 2013
"95" "Albany (NY) Great Danes" "2012-13" "http://www.sports-reference.com/cbb/schools/albany-ny/2013.html" 2012
"96" "Albany (NY) Great Danes" "2011-12" "http://www.sports-reference.com/cbb/schools/albany-ny/2012.html" 2011
"97" "Albany (NY) Great Danes" "2010-11" "http://www.sports-reference.com/cbb/schools/albany-ny/2011.html" 2010
"98" "Albany (NY) Great Danes" "2009-10" "http://www.sports-reference.com/cbb/schools/albany-ny/2010.html" 2009
"99" "Albany (NY) Great Danes" "2008-09" "http://www.sports-reference.com/cbb/schools/albany-ny/2009.html" 2008
"100" "Albany (NY) Great Danes" "2007-08" "http://www.sports-reference.com/cbb/schools/albany-ny/2008.html" 2007
"101" "Albany (NY) Great Danes" "2006-07" "http://www.sports-reference.com/cbb/schools/albany-ny/2007.html" 2006
"102" "Albany (NY) Great Danes" "2005-06" "http://www.sports-reference.com/cbb/schools/albany-ny/2006.html" 2005
"103" "Albany (NY) Great Danes" "2004-05" "http://www.sports-reference.com/cbb/schools/albany-ny/2005.html" 2004
"104" "Albany (NY) Great Danes" "2003-04" "http://www.sports-reference.com/cbb/schools/albany-ny/2004.html" 2003
"105" "Albany (NY) Great Danes" "2002-03" "http://www.sports-reference.com/cbb/schools/albany-ny/2003.html" 2002
"106" "Albany (NY) Great Danes" "2001-02" "http://www.sports-reference.com/cbb/schools/albany-ny/2002.html" 2001
"107" "Albany (NY) Great Danes" "2000-01" "http://www.sports-reference.com/cbb/schools/albany-ny/2001.html" 2000
"108" "Alcorn State Braves" "2014-15" "http://www.sports-reference.com/cbb/schools/alcorn-state/2015.html" 2014
"109" "Alcorn State Braves" "2013-14" "http://www.sports-reference.com/cbb/schools/alcorn-state/2014.html" 2013
"110" "Alcorn State Braves" "2012-13" "http://www.sports-reference.com/cbb/schools/alcorn-state/2013.html" 2012
"111" "Alcorn State Braves" "2011-12" "http://www.sports-reference.com/cbb/schools/alcorn-state/2012.html" 2011
"112" "Alcorn State Braves" "2010-11" "http://www.sports-reference.com/cbb/schools/alcorn-state/2011.html" 2010
